"id1","id2","weight"
2073,806,5991.39
2073,1177,8160.48
806,1177,3808.11
1444,2017,1770.13
1444,583,6417.85
2017,583,8131.82
1177,2383,2582.25
1177,583,9241.11
2383,583,9121.7
2478,1171,582.31
2478,1955,6353.39
1171,1955,6226.35
2327,1442,1788.74
2327,342,753.64
1442,342,1148.18
2383,1442,7941.48
2383,2327,7945.66
1442,2327,1788.74
38,1965,1110.94
38,1444,1321.5
1965,1444,560.91
2073,577,438.78
2073,806,5991.39
577,806,5552.61
896,1162,682.4
896,2017,474.8
1162,2017,368.68
2112,2241,3904.58
2112,1171,451.48
2241,1171,3479.39
1763,2458,1778.4
1763,1955,2120.54
2458,1955,355.33
1720,2504,1350.17
1720,1732,614.68
2504,1732,735.49
234,2629,1194.2
234,1447,557.16
2629,1447,1109.25
800,2005,2535.83
800,806,2986.33
2005,806,450.5
2005,800,2535.83
2005,1995,388.01
800,1995,2147.82
2005,587,2053.37
2005,806,450.5
587,806,2503.87
577,2026,1935.59
577,806,5552.61
2026,806,3681.15
1965,2364,875.1
1965,1444,560.91
2364,1444,340.99
344,2364,601.73
344,1965,795.16
2364,1965,875.1
2586,896,1466.81
2586,2017,1941.61
896,2017,474.8
2586,344,395.22
2586,896,1466.81
344,896,1071.59
2586,2364,450.46
2586,344,395.22
2364,344,601.73
2562,2557,571.97
2562,2109,175.86
2557,2109,501.27
2243,1805,944.81
2243,1809,231.56
1805,1809,1097.08
38,2527,752.81
38,1965,1110.94
2527,1965,473.27
2113,1805,2043.25
2113,2112,1586.6
1805,2112,3346.56
1805,2113,2043.25
1805,1809,1097.08
2113,1809,1259.67
238,2241,163.69
238,2112,3912.85
2241,2112,3904.58
238,1805,1014.03
238,1495,725.66
1805,1495,288.37
1805,238,1014.03
1805,2112,3346.56
238,2112,3912.85
1744,410,963.75
1744,2339,320.31
410,2339,890.94
410,2458,1059.56
410,2339,890.94
2458,2339,494.86
1458,1744,51.81
1458,2339,316.98
1744,2339,320.31
1410,2383,153.64
1410,1177,2481.72
2383,1177,2582.25
1410,1412,135
1410,2383,153.64
1412,2383,280.59
1371,1999,280.22
1371,1845,167.71
1999,1845,119.33
1845,1999,119.33
1845,93,640.32
1999,93,520.99
587,1999,414.31
587,806,2503.87
1999,806,2557.61
806,1999,2557.61
806,1177,3808.11
1999,1177,1265.69
1999,1371,280.22
1999,1177,1265.69
1371,1177,1545.91
793,1719,495.85
793,38,3913.56
1719,38,3417.71
793,38,3913.56
793,1444,4964.77
38,1444,1321.5
1590,1578,637.74
1590,1283,2458.13
1578,1283,1820.39
1941,1590,2608.63
1941,1283,150.5
1590,1283,2458.13
1713,1590,467.89
1713,1719,384.99
1590,1719,822.39
984,1590,297.16
984,223,651.81
1590,223,354.65
1590,984,297.16
1590,1578,637.74
984,1578,390.81
2493,2327,599.29
2493,342,332.75
2327,342,753.64
1714,1404,235.19
1714,230,114.68
1404,230,349.87
1717,1714,818.04
1717,230,703.36
1714,230,114.68
1719,1717,378.91
1719,230,324.45
1717,230,703.36
793,1717,116.94
793,1719,495.85
1717,1719,378.91
386,2350,749.19
386,2629,2388.24
2350,2629,2105.42
1180,2415,554.08
1180,800,683.23
2415,800,409.74
1999,2573,687.64
1999,93,520.99
2573,93,304.25
2573,1999,687.64
2573,2086,389.37
1999,2086,317.73
2005,2082,1881.79
2005,587,2053.37
2082,587,171.58
2082,2573,206.92
2082,2086,186
2573,2086,389.37
1479,2005,1488.1
1479,297,442.36
2005,297,1182.03
1479,2082,434.76
1479,2005,1488.1
2082,2005,1881.79
2253,1214,4067.08
2253,1015,2134.54
1214,1015,2529.3
1214,2253,4067.08
1214,1991,943.6
2253,1991,4936.32
12,577,1946.74
12,2010,1037.67
577,2010,909.07
12,2026,210.05
12,577,1946.74
2026,577,1935.59
910,1778,116.73
910,666,205.88
1778,666,98.73
777,577,451.63
777,2073,890.41
577,2073,438.78
777,2073,890.41
777,1313,974.84
2073,1313,161.23
1290,777,1229.72
1290,1313,2204.56
777,1313,974.84
2014,2478,10677.82
2014,1955,5706.09
2478,1955,6353.39
1170,1171,513.28
1170,2478,170.59
1171,2478,582.31
344,2100,812.57
344,896,1071.59
2100,896,330.84
2562,2100,385.25
2562,344,427.32
2100,344,812.57
1988,2017,2378.08
1988,1444,776.96
2017,1444,1770.13
1988,2586,436.47
1988,2017,2378.08
2586,2017,1941.61
1399,344,577.62
1399,1965,285.63
344,1965,795.16
1980,2241,614.98
1980,1968,435.41
2241,1968,237.85
2241,1980,614.98
2241,1171,3479.39
1980,1171,3806.34
1171,1980,3806.34
1171,1955,6226.35
1980,1955,5006.78
1980,1763,4524.2
1980,1955,5006.78
1763,1955,2120.54
2527,1396,276.59
2527,2238,184.03
1396,2238,408.52
2563,2015,296
2563,847,411.5
2015,847,644.12
1162,1161,1288.09
1162,847,1888.64
1161,847,600.55
2113,1155,339.88
2113,1809,1259.67
1155,1809,1000.78
1155,2125,291.14
1155,1809,1000.78
2125,1809,818.35
2458,1210,706.02
2458,2339,494.86
1210,2339,292.89
1763,1210,1072.38
1763,2458,1778.4
1210,2458,706.02
678,410,904.78
678,1744,194.64
410,1744,963.75
1449,234,311.19
1449,1447,249.97
234,1447,557.16
2504,409,624.1
2504,1732,735.49
409,1732,184.76
1451,409,209.42
1451,2504,475.61
409,2504,624.1
1452,1451,184.86
1452,2504,300.56
1451,2504,475.61
2458,1456,889.13
2458,1955,355.33
1456,1955,533.8
410,1456,170.43
410,2458,1059.56
1456,2458,889.13
1456,2504,159.36
1456,1955,533.8
2504,1955,423.19
1456,1452,247.6
1456,2504,159.36
1452,2504,300.56
1452,1456,247.6
1452,410,339.79
1456,410,170.43
1745,2582,80.02
1745,2339,251.67
2582,2339,311.64
2582,1458,35.03
2582,2339,311.64
1458,2339,316.98
1620,1713,1053.03
1620,2329,802.89
1713,2329,250.14
2709,1845,209.08
2709,93,449.09
1845,93,640.32
517,1412,1972.82
517,1410,2102.01
1412,1410,135
115,1719,261.74
115,230,138.6
1719,230,324.45
115,1713,380.73
115,1719,261.74
1713,1719,384.99
1789,2493,543.75
1789,2324,490.06
2493,2324,259.63
2493,1789,543.75
2493,2327,599.29
1789,2327,60.61
2493,526,286.48
2493,2324,259.63
526,2324,240.81
1800,1620,814.22
1800,2329,1617.11
1620,2329,802.89
1714,1800,1418.05
1714,2329,339.11
1800,2329,1617.11
1800,1714,1418.05
1800,1321,718.42
1714,1321,706.27
540,1714,296.97
540,2329,126.07
1714,2329,339.11
540,1404,66.87
540,1714,296.97
1404,1714,235.19
1714,1401,351.14
1714,1321,706.27
1401,1321,381.69
2500,229,198.06
2500,2501,713.88
229,2501,517.22
2500,1401,246.37
2500,229,198.06
1401,229,58.75
229,1712,375.08
229,2501,517.22
1712,2501,142.14
2350,1517,144.24
2350,1510,156.64
1517,1510,278.03
2343,1695,1043.37
2343,2443,459.07
1695,2443,707.74
2350,1695,1308.07
2350,2629,2105.42
1695,2629,1088.91
1695,2343,1043.37
1695,2629,1088.91
2343,2629,91.44
1528,1529,191.09
1528,1058,185.57
1529,1058,131.39
2629,2465,638.71
2629,1447,1109.25
2465,1447,481.56
2082,1482,304.14
2082,2573,206.92
1482,2573,105.59
1482,1479,135.81
1482,94,79.19
1479,94,67.51
1479,1482,135.81
1479,2082,434.76
1482,2082,304.14
951,2082,74.85
951,2086,111.53
2082,2086,186
2235,2398,175.8
2235,297,228.88
2398,297,335.64
2398,1479,362.98
2398,297,335.64
1479,297,442.36
2005,1990,1105.07
2005,297,1182.03
1990,297,322.14
366,1990,512.03
366,2005,677.33
1990,2005,1105.07
1990,2235,237.23
1990,297,322.14
2235,297,228.88
637,122,667.38
637,2253,1307.33
122,2253,759.29
2008,12,853.89
2008,2010,276.35
12,2010,1037.67
577,2011,469.41
577,2010,909.07
2011,2010,439.66
2110,1170,243.05
2110,2478,265.69
1170,2478,170.59
2015,2110,365.71
2015,2478,477.2
2110,2478,265.69
776,2112,374.49
776,1171,226.79
2112,1171,451.48
2364,1445,218.15
2364,1444,340.99
1445,1444,395.81
2557,2108,286.37
2557,2109,501.27
2108,2109,214.9
240,1440,173.37
240,1813,552.88
1440,1813,683.39
172,240,803.71
172,1813,250.83
240,1813,552.88
1396,2234,251.29
1396,2238,408.52
2234,2238,457.3
2234,1396,251.29
2234,1397,226.61
1396,1397,297.13
2527,1966,477.36
2527,1965,473.27
1966,1965,261.21
1425,238,603.83
1425,1495,221.4
238,1495,725.66
1934,1989,1462.89
1934,2232,299.45
1989,2232,1179.34
1992,1381,1257.75
1992,2232,366.03
1381,2232,898.26
1408,2234,303.39
1408,1397,402.29
2234,1397,226.61
2516,1396,283.81
2516,2527,414.1
1396,2527,276.59
2516,38,577.64
2516,1409,280.84
38,1409,322.71
2516,2527,414.1
2516,38,577.64
2527,38,752.81
2122,2563,355.94
2122,2270,431.97
2563,2270,787.91
2477,1152,192.69
2477,2270,795.32
1152,2270,854.78
1152,948,578.42
1152,2270,854.78
948,2270,459.8
1152,159,585.35
1152,948,578.42
159,948,752.66
1467,1210,173.13
1467,2250,138.03
1210,2250,285.16
744,1737,481.23
744,1763,1609.07
1737,1763,1183.84
543,678,148.96
543,2505,280.54
678,2505,131.58
1449,1743,425.75
1449,234,311.19
1743,234,174.01
1743,1449,425.75
1743,2505,167.06
1449,2505,308.84
1728,1743,185.3
1728,2505,231.66
1743,2505,167.06
2357,2230,275.75
2357,2368,359.97
2230,2368,635.72
854,1664,598.3
854,1371,677.93
1664,1371,1273.17
1842,1371,579.66
1842,1845,418.77
1371,1845,167.71
1842,854,380.21
1842,1371,579.66
854,1371,677.93
854,1842,380.21
854,513,61.53
1842,513,324.56
1865,517,68.8
1865,1390,93.47
517,1390,158.76
517,1865,68.8
517,1412,1972.82
1865,1412,1909.29
111,1194,210.55
111,1664,67.41
1194,1664,274.3
1371,1194,1539.91
1371,1177,1545.91
1194,1177,59.32
1664,1194,274.3
1664,1371,1273.17
1194,1371,1539.91
850,111,48.44
850,1664,21.9
111,1664,67.41
1403,115,93.44
1403,230,232.04
115,230,138.6
1231,1444,6421.28
1231,583,328.44
1444,583,6417.85
1231,793,1481.67
1231,1444,6421.28
793,1444,4964.77
2076,2383,8193.49
2076,2327,1691.36
2383,2327,7945.66
1238,1717,538.6
1238,793,439.91
1717,793,116.94
1343,1238,403.33
1343,793,814.49
1238,793,439.91
1565,1909,524.99
1565,1578,370.18
1909,1578,895.17
2645,1789,294.31
2645,2324,293.43
1789,2324,490.06
1789,911,211.34
1789,1318,38.24
911,1318,178.88
911,2645,108.19
911,1784,59.35
2645,1784,48.84
2645,911,108.19
2645,1789,294.31
911,1789,211.34
669,2500,449.77
669,2501,1144.16
2500,2501,713.88
1401,2444,312.7
1401,1321,381.69
2444,1321,74.78
2500,2444,89.53
2500,1401,246.37
2444,1401,312.7
1712,432,177.13
1712,1717,1243.94
432,1717,1066.81
1717,432,1066.81
1717,1714,818.04
432,1714,248.77
432,1401,163.98
432,1714,248.77
1401,1714,351.14
1066,1063,320.41
1066,1685,331.64
1063,1685,652.05
30,1082,171.82
30,422,167.45
1082,422,210.99
386,1084,512.52
386,2350,749.19
1084,2350,240.1
1084,1517,151.42
1084,2350,240.1
1517,2350,144.24
1577,2350,368.1
1577,1510,240.95
2350,1510,156.64
1577,1695,981.94
1577,2350,368.1
1695,2350,1308.07
1528,2435,239.08
1528,1529,191.09
2435,1529,182.93
2504,1116,2588.11
2504,1955,423.19
1116,1955,2890.48
1116,2014,3744.13
1116,1955,2890.48
2014,1955,5706.09
2502,1731,242.13
2502,408,558.2
1731,408,316.07
543,2700,271.09
543,542,167.32
2700,542,112.3
2700,543,271.09
2700,2505,142.61
543,2505,280.54
800,1201,2112.5
800,1995,2147.82
1201,1995,578.15
1488,951,120.11
1488,2086,69.82
951,2086,111.53
1488,1999,313.86
1488,587,166.4
1999,587,414.31
1999,1488,313.86
1999,2086,317.73
1488,2086,69.82
2082,1488,194.55
2082,587,171.58
1488,587,166.4
951,1488,120.11
951,2082,74.85
1488,2082,194.55
384,586,91.2
384,1479,105.94
586,1479,194.94
1482,586,270.8
1482,2573,105.59
586,2573,282.05
586,384,91.2
586,2573,282.05
384,2573,190.85
2398,2254,384.96
2398,1479,362.98
2254,1479,159.06
2254,384,181
2254,1479,159.06
384,1479,105.94
2254,2398,384.96
2254,93,82.83
2398,93,467.79
2573,2254,371.85
2573,93,304.25
2254,93,82.83
384,2254,181
384,2573,190.85
2254,2573,371.85
754,2005,1030.81
754,1995,651.46
2005,1995,388.01
754,366,353.48
754,2005,1030.81
366,2005,677.33
1442,1356,675.44
1442,342,1148.18
1356,342,472.74
2706,1356,915
2706,1442,253.82
1356,1442,675.44
1622,2253,1717.49
1622,1015,417.05
2253,1015,2134.54
637,1612,295.44
637,122,667.38
1612,122,570.47
12,2078,772.91
12,2026,210.05
2078,2026,596.29
2160,2059,244.7
2160,2008,213.05
2059,2008,174.16
2004,2009,648.76
2004,2014,707.75
2009,2014,1356.51
2009,1290,1179.83
2009,1313,2329.05
1290,1313,2204.56
2014,2009,1356.51
2014,1313,2633.05
2009,1313,2329.05
2380,777,702.05
2380,1290,527.67
777,1290,1229.72
2009,2380,652.16
2009,1290,1179.83
2380,1290,527.67
2380,2009,652.16
2380,2004,248.41
2009,2004,648.76
2380,2004,248.41
2380,2546,359.75
2004,2546,608.16
2380,83,885.4
2380,777,702.05
83,777,316.19
83,2380,885.4
83,2546,525.65
2380,2546,359.75
1289,2014,411.38
1289,2072,277.53
2014,2072,417.6
1289,2004,296.37
1289,2014,411.38
2004,2014,707.75
776,17,345.43
776,786,292.89
17,786,301.84
17,2479,292.36
17,786,301.84
2479,786,181.71
1170,17,577.21
1170,1171,513.28
17,1171,294.73
17,776,345.43
17,1171,294.73
776,1171,226.79
2479,17,292.36
2479,2259,248.23
17,2259,222.02
2110,17,341.32
2110,1170,243.05
17,1170,577.21
2100,2257,412.14
2100,896,330.84
2257,896,302.03
1988,406,259.9
1988,2586,436.47
406,2586,342.34
406,1988,259.9
406,1444,536.13
1988,1444,776.96
1445,406,201.04
1445,1444,395.81
406,1444,536.13
1992,2341,962.9
1992,1813,1120.94
2341,1813,454.72
2108,2564,417.38
2108,2109,214.9
2564,2109,224.8
2564,2108,417.38
2564,2125,575.46
2108,2125,385.41
1155,2564,284.32
1155,2125,291.14
2564,2125,575.46
2125,2107,291.19
2125,1809,818.35
2107,1809,672.74
2390,2107,337.73
2390,2557,1087.26
2107,2557,869.29
2107,2108,582.92
2107,2557,869.29
2108,2557,286.37
2108,2107,582.92
2108,2125,385.41
2107,2125,291.19
88,1399,177.84
88,1965,298.66
1399,1965,285.63
1966,88,224.76
1966,1965,261.21
88,1965,298.66
568,2527,720.05
568,2238,565.37
2527,2238,184.03
568,1966,245.24
568,2527,720.05
1966,2527,477.36
2239,1441,812.06
2239,2557,929.18
1441,2557,948.58
2239,2557,929.18
2239,2562,845.06
2557,2562,571.97
2239,2562,845.06
2239,344,464.63
2562,344,427.32
1399,2239,185.84
1399,344,577.62
2239,344,464.63
2241,748,255.54
2241,1968,237.85
748,1968,225.54
238,748,223.99
238,2241,163.69
748,2241,255.54
1431,1980,787.92
1431,1968,598.03
1980,1968,435.41
1431,1981,554.18
1431,1980,787.92
1981,1980,886.37
1981,1431,554.18
1981,1989,251.81
1431,1989,342.5
1934,938,622.53
1934,1989,1462.89
938,1989,862.62
938,1934,622.53
938,2221,1082.79
1934,2221,460.26
