id,coor
2,[-122.21940574   37.46958495]
3,[-121.66021547   37.15047594]
5,[-121.36171355   38.5544347 ]
6,[-121.94843241   38.36665327]
7,[-121.99610391   38.32584685]
8,[-122.64497177   38.26187655]
9,[-122.416533     37.78570262]
10,[-121.06001985   37.69417708]
11,[-121.97494123   37.76418646]
12,[-122.57882833   38.58127611]
13,[-121.2415853    38.75506963]
14,[-121.61330838   36.70545519]
16,[-121.92113123   36.61764269]
17,[-121.90947258   36.5881693 ]
20,[-122.418912     37.78791437]
21,[-122.43979      37.80245875]
23,[-122.03187529   38.25290014]
24,[-122.01247947   38.2496886 ]
25,[-121.9796351    38.34320795]
26,[-122.48730192   38.30574416]
27,[-122.7375043    38.46703491]
28,[-122.80197539   38.55273911]
30,[-122.2463301   37.7663485]
31,[-122.30601815   37.901185  ]
36,[-121.18947179   37.7990965 ]
37,[-122.070514     37.34550584]
38,[-121.48119058   37.20583966]
39,[-122.23845417   38.10527917]
40,[-122.01447281   38.26397281]
41,[-122.01407141   37.97743574]
42,[-121.93918714   37.73221593]
43,[-122.35259412   37.96146247]
44,[-122.3982935    37.72475442]
46,[-122.2972355    37.80742078]
47,[-122.16651369   37.746447  ]
48,[-121.46938958   38.58037808]
52,[-121.83531117   37.36806758]
55,[-122.3154709    37.94560713]
56,[-122.3736234    37.96161168]
57,[-122.32168117   37.95847917]
58,[-122.27344796   37.843259  ]
59,[-122.07389639   37.57010039]
60,[-122.05365444   37.57194544]
61,[-122.050945     37.56169995]
62,[-121.97688645   37.54503891]
63,[-121.98557065   37.53914815]
64,[-122.0087442   37.5372988]
65,[-121.97587063   37.51987644]
66,[-121.89675341   37.48634378]
69,[-121.84457822   36.60125422]
73,[-122.05216156   38.29282719]
74,[-121.8815286   37.3160018]
75,[-122.46411223   38.28085981]
76,[-122.59061478   38.2394685 ]
77,[-121.89277765   37.29441535]
78,[-122.38722722   37.72773878]
79,[-122.41942518   37.790887  ]
80,[-122.43822723   37.78142685]
81,[-122.4400614    37.74062223]
