id,long,lat
X1,-120.788684621,36.0716294437
X2,-122.219405737,37.4695849474
X3,-121.660215471,37.1504759412
X4,-121.3428459,38.57307385
X5,-121.36171355,38.5544347
X6,-121.948432409,38.3666532727
X7,-121.996103913,38.3258468478
X8,-122.644971773,38.2618765455
X9,-122.416533,37.785702625
X10,-121.060019846,37.6941770769
X11,-121.974941231,37.7641864615
X12,-122.578828333,38.5812761111
X13,-121.2415853,38.7550696333
X14,-121.613308375,36.7054551875
X15,-121.376707429,36.4732351429
X16,-121.921131231,36.6176426923
X17,-121.909472576,36.588169303
X18,-121.26173175,38.7885989375
X19,-121.356635929,38.6977421429
X20,-122.418912,37.787914375
X21,-122.43979,37.80245875
X22,-120.91176151,35.4792265735
X23,-122.031875286,38.2529001429
X24,-122.012479467,38.2496886
X25,-121.9796351,38.34320795
X26,-122.48730192,38.30574416
X27,-122.737504304,38.467034913
X28,-122.801975389,38.5527391111
X29,-120.246741833,36.1300226667
X30,-122.2463301,37.7663485
X31,-122.306018154,37.901185
X32,-121.297575143,38.1397228571
X33,-121.281032545,38.1359758182
X34,-121.276139625,38.108162125
X35,-121.210946333,37.7992099333
X36,-121.189471786,37.7990965
X37,-122.070514,37.3455058421
X38,-121.481190581,37.2058396591
X39,-122.238454167,38.1052791667
X40,-122.014472813,38.2639728125
X41,-122.014071407,37.9774357407
X42,-121.939187143,37.7322159286
X43,-122.352594118,37.9614624706
X44,-122.3982935,37.7247544167
X45,-120.5383795,37.8920493333
X46,-122.2972355,37.8074207778
X47,-122.166513692,37.746447
X48,-121.469389583,38.5803780833
X49,-121.491249059,38.6241699412
X50,-121.3412652,38.6910069
X51,-121.258176933,38.7059694667
X52,-121.835311167,37.3680675833
X53,-120.496932818,37.2986964545
X54,-121.822642714,39.7691562857
X55,-122.3154709,37.9456071333
X56,-122.3736234,37.961611675
X57,-122.321681171,37.9584791714
X58,-122.273447957,37.843259
X59,-122.073896389,37.5701003889
X60,-122.053654444,37.5719454444
X61,-122.050945,37.5616999524
X62,-121.976886455,37.5450389091
X63,-121.98557065,37.53914815
X64,-122.0087442,37.5372988
X65,-121.975870625,37.5198764375
X66,-121.896753415,37.4863437805
X67,-121.439969778,38.5019976667
